Date : 2020-11-25 13:01:08
Directory : /home/ndong/Documents/Java-Programming/spring/course-web/src/main/java
Total : 67 files,  4367 codes, 45 comments, 801 blanks, all 5213 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         64 |      3,183 |         45 |        795 |      4,023 |
| SQL      |          3 |      1,184 |          0 |          6 |      1,190 |
+----------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                           |         67 |      4,367 |         45 |        801 |      5,213 |
| com                                                                                                                                         |         67 |      4,367 |         45 |        801 |      5,213 |
| com/ndong                                                                                                                                   |         67 |      4,367 |         45 |        801 |      5,213 |
| com/ndong/courseweb                                                                                                                         |         67 |      4,367 |         45 |        801 |      5,213 |
| com/ndong/courseweb/constant                                                                                                                |          5 |         57 |          0 |         13 |         70 |
| com/ndong/courseweb/controller                                                                                                              |          9 |        604 |          0 |        116 |        720 |
| com/ndong/courseweb/controller/admin                                                                                                        |          3 |        107 |          0 |         26 |        133 |
| com/ndong/courseweb/controller/admin/api                                                                                                    |          2 |         74 |          0 |         18 |         92 |
| com/ndong/courseweb/controller/web                                                                                                          |          6 |        497 |          0 |         90 |        587 |
| com/ndong/courseweb/controller/web/api                                                                                                      |          3 |        115 |          0 |         29 |        144 |
| com/ndong/courseweb/database                                                                                                                |          3 |      1,184 |          0 |          6 |      1,190 |
| com/ndong/courseweb/dto                                                                                                                     |          8 |        460 |         18 |        184 |        662 |
| com/ndong/courseweb/dto/query_result                                                                                                        |          1 |         21 |          0 |          7 |         28 |
| com/ndong/courseweb/entity                                                                                                                  |          9 |        588 |         10 |        210 |        808 |
| com/ndong/courseweb/entity/composite_id                                                                                                     |          2 |         80 |          7 |         30 |        117 |
| com/ndong/courseweb/filter                                                                                                                  |          2 |        175 |          0 |         18 |        193 |
| com/ndong/courseweb/filter/impl                                                                                                             |          1 |        165 |          0 |         15 |        180 |
| com/ndong/courseweb/interceptor                                                                                                             |          6 |        149 |         16 |         37 |        202 |
| com/ndong/courseweb/interceptor/config                                                                                                      |          1 |         33 |         16 |          9 |         58 |
| com/ndong/courseweb/repository                                                                                                              |          7 |         77 |          0 |         29 |        106 |
| com/ndong/courseweb/service                                                                                                                 |         12 |        890 |          0 |        139 |      1,029 |
| com/ndong/courseweb/service/impl                                                                                                            |          6 |        800 |          0 |        115 |        915 |
| com/ndong/courseweb/utils                                                                                                                   |          4 |        155 |          0 |         36 |        191 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                    | language | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
